"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 12 03:16:42 UTC 2023","Thu Oct 12 03:16:44 UTC 2023","2149","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Oct 12 02:28:50 UTC 2023","Thu Oct 12 02:28:51 UTC 2023","793","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Oct 12 02:56:29 UTC 2023","Thu Oct 12 02:56:48 UTC 2023","18817","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Oct 12 02:31:16 UTC 2023","Thu Oct 12 02:31:36 UTC 2023","20339","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Oct 12 02:46:32 UTC 2023","Thu Oct 12 02:46:52 UTC 2023","19690","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Oct 12 03:03:47 UTC 2023","Thu Oct 12 03:03:49 UTC 2023","1056","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Oct 12 02:26:41 UTC 2023","Thu Oct 12 02:26:50 UTC 2023","9336","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Thu Oct 12 03:55:51 UTC 2023","Thu Oct 12 03:55:52 UTC 2023","1306","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Oct 12 02:20:55 UTC 2023","Thu Oct 12 02:20:58 UTC 2023","3017","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Thu Oct 12 02:21:58 UTC 2023","Thu Oct 12 02:22:04 UTC 2023","5827","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Oct 12 03:53:05 UTC 2023","Thu Oct 12 03:53:08 UTC 2023","2530","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Oct 12 03:58:26 UTC 2023","Thu Oct 12 03:58:55 UTC 2023","28929","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Oct 12 02:53:44 UTC 2023","Thu Oct 12 02:54:29 UTC 2023","45008","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Oct 12 03:09:55 UTC 2023","Thu Oct 12 03:10:15 UTC 2023","19908","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Thu Oct 12 02:51:10 UTC 2023","Thu Oct 12 02:51:21 UTC 2023","10848","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Oct 12 03:07:12 UTC 2023","Thu Oct 12 03:07:36 UTC 2023","23776","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"broken","Thu Oct 12 04:46:58 UTC 2023","Thu Oct 12 04:46:58 UTC 2023","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Thu Oct 12 02:18:47 UTC 2023","Thu Oct 12 02:18:47 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Thu Oct 12 03:55:35 UTC 2023","Thu Oct 12 03:55:35 UTC 2023","436","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Thu Oct 12 02:47:00 UTC 2023","Thu Oct 12 02:47:03 UTC 2023","2630","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Oct 12 02:40:32 UTC 2023","Thu Oct 12 02:40:34 UTC 2023","2724","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Oct 12 02:51:25 UTC 2023","Thu Oct 12 02:51:25 UTC 2023","526","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Oct 12 03:23:29 UTC 2023","Thu Oct 12 03:23:33 UTC 2023","4251","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Oct 12 02:22:04 UTC 2023","Thu Oct 12 02:22:56 UTC 2023","51647","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Oct 12 03:55:11 UTC 2023","Thu Oct 12 03:55:29 UTC 2023","18669","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Thu Oct 12 02:41:41 UTC 2023","Thu Oct 12 02:41:44 UTC 2023","2791","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Oct 12 03:03:10 UTC 2023","Thu Oct 12 03:03:44 UTC 2023","34709","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Oct 12 03:23:49 UTC 2023","Thu Oct 12 03:23:58 UTC 2023","8861","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Oct 12 03:07:39 UTC 2023","Thu Oct 12 03:07:59 UTC 2023","20286","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Oct 12 02:51:21 UTC 2023","Thu Oct 12 02:51:25 UTC 2023","3719","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Oct 12 03:03:49 UTC 2023","Thu Oct 12 03:04:00 UTC 2023","11307","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Oct 12 02:47:39 UTC 2023","Thu Oct 12 02:48:01 UTC 2023","21511","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Oct 12 02:36:55 UTC 2023","Thu Oct 12 02:37:18 UTC 2023","22594","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Oct 12 02:31:46 UTC 2023","Thu Oct 12 02:32:06 UTC 2023","20209","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Oct 12 02:26:13 UTC 2023","Thu Oct 12 02:26:17 UTC 2023","4037","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Oct 12 02:18:47 UTC 2023","Thu Oct 12 02:18:57 UTC 2023","10075","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Oct 12 02:19:51 UTC 2023","Thu Oct 12 02:20:01 UTC 2023","10190","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Oct 12 03:23:24 UTC 2023","Thu Oct 12 03:23:27 UTC 2023","2664","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Oct 12 02:20:01 UTC 2023","Thu Oct 12 02:20:26 UTC 2023","24984","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Oct 12 02:40:34 UTC 2023","Thu Oct 12 02:41:41 UTC 2023","66764","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Thu Oct 12 02:18:02 UTC 2023","Thu Oct 12 02:18:38 UTC 2023","35767","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
